Year,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Chemicals - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper and Pulp - Electricity,8.890045878,8.663868336,8.552822043,8.551962052,8.485635273,8.427263407,8.421135974,8.505307559,8.640111094,8.815441689,9.034954303,9.354978325,9.8080859,10.3324652,10.87812927,11.42927578,11.94613016,12.38483289,12.75462888,13.07261042,13.39757939,13.67836634,13.9204537,14.12631397,14.307557,14.47235271,14.6111337,14.72755493,14.79775167,14.83688124
Paper and Pulp - Natural Gas,5.051799361,4.970874346,4.835735942,4.826193022,4.755928119,4.696561318,4.608377888,4.506360348,4.358156671,4.182064495,3.97407645,3.734681648,3.456664457,3.135366685,2.771953259,2.40554588,2.064611601,1.761313501,1.505537238,1.287395449,1.103460836,0.950805282,0.815337941,0.696158409,0.601248596,0.511128354,0.436455145,0.366405916,0.31093888,0.278579747
Paper and Pulp - Hydrogen,0,0,0,0,0,0,0.00951611,0.018853984,0.034078821,0.052665233,0.0787608,0.112673869,0.154073285,0.198104505,0.240952168,0.279144646,0.31083061,0.335831859,0.355166496,0.369895849,0.381065821,0.389458511,0.396093164,0.402472569,0.406853185,0.411130819,0.414660463,0.418219293,0.421787487,0.425548162
Paper and Pulp - Oil/Petroleum,0.228161465,0.223030851,0.217900236,0.212769621,0.207639006,0.202508391,0.197377777,0.192247162,0.187116547,0.181985932,0.176855317,0.171724703,0.166594088,0.161463473,0.156332858,0.145910668,0.135488477,0.125066287,0.114644096,0.104221905,0.093799715,0.083377524,0.072955334,0.062533143,0.052110953,0.041688762,0.031266572,0.020844381,0.010422191,0
Paper and Pulp - Bioenergy/Other,4.592886474,4.457015275,4.321144075,4.185272876,4.049401677,3.913530477,3.777659278,3.641788078,3.505916879,3.37004568,3.23417448,3.098303281,2.962432082,2.826560882,2.690689683,2.563876564,2.437063444,2.310250325,2.183437206,2.056624086,1.929810967,1.802997847,1.676184728,1.549371609,1.422558489,1.29574537,1.16893225,1.042119131,0.915306012,0.788492892
Paper and Pulp - Gas CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper and Pulp - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food and Beverages - Electricity,10.62856986,10.35816137,10.22539904,10.22437087,10.14507332,10.07528634,10.06796064,10.16859269,10.3297582,10.53937618,10.80181635,11.18442379,11.7261404,12.35306653,13.00543984,13.66436773,14.28229738,14.80679216,15.24890488,15.62907042,16.01758983,16.35328705,16.64271666,16.88883464,17.10552129,17.3025442,17.46846499,17.60765339,17.69157769,17.73835939
Food and Beverages - Natural Gas,24.77989113,24.38294088,23.7200652,23.67325563,23.32859494,23.03739121,22.60483725,22.10442475,21.3774618,20.51370126,19.49348633,18.3192162,16.95549701,15.37947958,13.59687808,11.79959075,10.12725309,8.639526965,7.384903119,6.314882438,5.412653477,4.663853349,3.999364184,3.414769345,2.949221393,2.507167063,2.140882922,1.79728015,1.525205386,1.366478615
