Technology,CO2,NOx,PM2.5_Exhaust,PM2.5_Tyre,PM2.5_Brake,PM2.5_Road,SO2,NH3,,,,,,,,,,,
LGV - BEV,0,0,0,0.007098,0.005772,0.00405,0,0,,,,,,,,,,,
HGV - CNG - Euro 1,1,16.5,0.02,0.0188748,0.0199836,0.01701,0.002775,0,,,,,,,,,,,
HGV - CNG - Euro 2,1,15,0.01,0.0188748,0.0199836,0.01701,0.002575,0,,,,,,,,,,,
HGV - CNG - Euro 3,1,10,0.01,0.0188748,0.0199836,0.01701,0.002275,0,,,,,,,,,,,
HGV - CNG - EEV,1,2.5,0.005,0.0188748,0.0199836,0.01701,0.002275,0,,,,,,,,,,,
HGV - Diesel - Euro 1,1,7.52,0.297,0.0188748,0.0199836,0.01701,0.00063,0.029,,,,,,,,,,,
HGV - Diesel - Euro 2,1,7.91,0.155,0.0188748,0.0199836,0.01701,0.00063,0.029,,,,,,,,,,,
HGV - Diesel - Euro 3,1,6.27,0.13,0.0188748,0.0199836,0.01701,0.00063,0.029,,,,,,,,,,,
HGV - Diesel - Euro 4,1,3.83,0.0239,0.0188748,0.0199836,0.01701,0.00063,0.029,,,,,,,,,,,
HGV - Diesel - Euro 5,1,2.18,0.0239,0.0188748,0.0199836,0.01701,0.00063,0.011,,,,,,,,,,,
HGV - Diesel - Euro 6,1,0.422,0.0012,0.0188748,0.0199836,0.01701,0.00063,0.009,,,,,,,,,,,
HGV - Diesel - Euro 7,1,0.422,0.0012,0.0188748,0.0199836,0.01701,0.00063,0.009,,,,,,,,,,,
HGV - PHEV (Diesel),1,0.422,0.0012,0.0188748,0.0199836,0.01701,0.00063,0.009,,,,,,,,,,,
HGV - Hydrogen Fuel Cell,0,0,0,0.0188748,0.0199836,0.01701,0,0,,,,,,,,,,,
HGV - BEV,0,0,0,0.0188748,0.0199836,0.01701,0,0,,,,,,,,,,,
Bus - CNG - Euro 1,1,16.5,0.02,0.0188748,0.0199836,0.01701,0.002775,0,,,,,,,,,,,
Bus - CNG - Euro 2,1,15,0.01,0.0188748,0.0199836,0.01701,0.002575,0,,,,,,,,,,,
Bus - CNG - Euro 3,1,10,0.01,0.0188748,0.0199836,0.01701,0.002275,0,,,,,,,,,,,
Bus - CNG - EEV,1,2.5,0.005,0.0188748,0.0199836,0.01701,0.002275,0,,,,,,,,,,,
Bus - Diesel - Euro 1,1,10.1,0.479,0.0188748,0.0199836,0.01701,0.000903,0.0029,,,,,,,,,,,
