Year,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electricity,82.773,80.987,80.366,80.59,80.214,79.962,79.665,79.499,79.454,79.594,80.068,80.758,81.612,82.421,83.405,84.239,85.249,86.376,87.523,88.527,89.757,91.316,92.691,94.188,95.712,96.481,97.157,97.809,98.316,98.673
Natural Gas,131.8823474,130.1449326,127.1287573,127.3333761,126.3628808,125.0415432,123.6862477,121.4493487,118.37015,114.1715909,108.5358529,102.0932127,94.57537752,86.75301476,78.15570523,69.59641218,61.61523994,54.0635454,47.22166631,40.68036574,34.6787807,29.33310132,24.49582741,20.28856205,16.34874668,12.95128347,10.46793957,8.093519893,6.491668894,5.447251536
Hydrogen,0,0,0,0,0,0.488903127,1.12103112,2.56348154,4.794292962,7.739818119,11.7738103,16.6114256,22.65585214,29.08447871,35.6163197,42.14757113,48.30001778,54.07937514,59.28275872,63.92238691,68.15129071,71.87009602,75.21784291,78.24382874,81.13847913,83.52632613,85.15096607,86.66540026,87.37894009,87.73310127
Oil/Petroleum,6.49692011,6.356577941,6.216235773,6.075893605,5.935551436,5.795209268,5.654867099,5.514524931,5.374182763,5.233840594,5.093498426,4.953156258,4.812814089,4.672471921,4.532129753,4.229987769,3.927845786,3.625703802,3.323561819,3.021419835,2.719277852,2.417135868,2.114993885,1.812851901,1.510709918,1.208567934,0.906425951,0.604283967,0.302141984,0
Bioenergy + Other,29.13766494,28.22880226,27.31993958,26.41107691,25.50221423,24.59335155,23.68448887,22.7756262,21.86676352,20.95790084,20.04903817,19.14017549,18.23131281,17.32245014,16.41358746,15.56531563,14.7170438,13.86877197,13.02050013,12.1722283,11.32395647,10.47568464,9.627412807,8.779140976,7.930869144,7.082597312,6.234325481,5.386053649,4.537781818,3.689509986
