Year,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Chemicals - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper and Pulp - Electricity,8.898000791,8.706007878,8.639251103,8.663330842,8.622911281,8.595821575,8.563894422,8.546049616,8.541212169,8.556262005,8.607216452,8.681390645,8.773194648,8.860161202,8.965940053,9.055594078,9.164167898,9.285319082,9.408620241,9.516549068,9.648772631,9.81636331,9.964174203,10.12509995,10.28892817,10.37159478,10.44426399,10.51435322,10.56885513,10.60723221
Paper and Pulp - Natural Gas,5.051799361,4.985247082,4.869711433,4.877549426,4.840374266,4.789759969,4.7378449,4.652159705,4.534209921,4.37338265,4.15750374,3.910716158,3.622742855,3.323104519,2.993781576,2.665914867,2.360193278,2.070922982,1.808842414,1.558275613,1.328382802,1.123614687,0.938321221,0.777160453,0.626244449,0.496103435,0.40097808,0.310025105,0.248665643,0.208658872
Paper and Pulp - Hydrogen,0,0,0,0,0,0.018727605,0.042941488,0.098195055,0.183647066,0.296476435,0.450999914,0.636306457,0.867840326,1.114091111,1.364295561,1.614477427,1.850149044,2.071529346,2.27084677,2.448569348,2.610558985,2.75300912,2.881245734,2.997157177,3.108037771,3.199505084,3.261737484,3.319748415,3.347080807,3.360647074
Paper and Pulp - Oil/Petroleum,0.228161465,0.223232872,0.218304279,0.213375686,0.208447094,0.203518501,0.198589908,0.193661315,0.188732722,0.183804129,0.178875536,0.173946943,0.16901835,0.164089757,0.159161164,0.14855042,0.137939675,0.127328931,0.116718187,0.106107443,0.095496698,0.084885954,0.07427521,0.063664466,0.053053721,0.042442977,0.031832233,0.021221489,0.010610744,0
Paper and Pulp - Bioenergy/Other,4.592886474,4.449625059,4.306363645,4.16310223,4.019840816,3.876579401,3.733317987,3.590056572,3.446795158,3.303533743,3.160272329,3.017010914,2.8737495,2.730488085,2.58722667,2.453516017,2.319805363,2.18609471,2.052384056,1.918673403,1.784962749,1.651252096,1.517541442,1.383830788,1.250120135,1.116409481,0.982698828,0.848988174,0.715277521,0.581566867
Paper and Pulp - Gas CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper and Pulp - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food and Beverages - Electricity,10.63808042,10.40854166,10.32873003,10.35751877,10.30919482,10.27680749,10.23863671,10.2173022,10.21151875,10.22951171,10.29043073,10.37911032,10.48886738,10.59284098,10.71930578,10.82649241,10.95629877,11.10114209,11.24855584,11.37759107,11.53567207,11.73603653,11.9127531,12.10514925,12.30101547,12.39984822,12.48672852,12.5705243,12.63568452,12.68156657
Food and Beverages - Natural Gas,24.77989113,24.45344147,23.88672046,23.92516708,23.74281692,23.49454563,23.23989384,22.81959413,22.2410314,21.45214769,20.39322679,19.18269388,17.77013835,16.30036395,14.68498177,13.07674265,11.57712892,10.15821144,8.872663958,7.643593358,6.515932021,5.511511372,4.602617018,3.812097441,3.071830089,2.433467412,1.966862193,1.520723174,1.219745111,1.023505441
Food and Beverages - Hydrogen,0,0,0,0,0,0.091861925,0.210634931,0.481662593,0.900818495,1.454264761,2.212227362,3.121185862,4.256896853,5.464796694,6.6920899,7.919272327,9.075279642,10.16118575,11.13886988,12.01062781,12.80521312,13.50395402,14.1329753,14.70153964,15.24542685,15.69408878,15.99934875,16.28390172,16.41797152,16.48451625
Food and Beverages - Oil/Petroleum,0.826973401,0.809109669,0.791245937,0.773382204,0.755518472,0.73765474,0.719791008,0.701927276,0.684063544,0.666199812,0.64833608,0.630472348,0.612608616,0.594744884,0.576881151,0.538422408,0.499963665,0.461504921,0.423046178,0.384587434,0.346128691,0.307669947,0.269211204,0.230752461,0.192293717,0.153834974,0.11537623,0.076917487,0.038458743,0
Food and Beverages - Bioenergy/Other,1.621904327,1.571313852,1.520723377,1.470132902,1.419542428,1.368951953,1.318361478,1.267771003,1.217180528,1.166590053,1.115999578,1.065409103,1.014818628,0.964228153,0.913637678,0.866419901,0.819202125,0.771984348,0.724766571,0.677548795,0.630331018,0.583113241,0.535895465,0.488677688,0.441459912,0.394242135,0.347024358,0.299806582,0.252588805,0.205371028
Food and Beverages - Gas CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food and Beverages - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral products - Electricity,5.646210018,5.524381268,5.48202088,5.497300634,5.471652476,5.454462753,5.434203437,5.422880048,5.419810455,5.429360301,5.461693351,5.508760449,5.56701451,5.622198977,5.689320751,5.746210548,5.815105866,5.891982126,5.97022265,6.038708689,6.122610907,6.228955263,6.322748394,6.424863533,6.528820428,6.581276367,6.627388481,6.671863478,6.706447563,6.73079967
Mineral products - Natural Gas,20.87219898,20.59722916,20.11987784,20.15226158,19.99866733,19.78954745,19.57505325,19.22103317,18.73370753,18.0692277,17.17729449,16.1576579,14.96785687,13.72986016,12.36921744,11.01459136,9.751460859,8.556301127,7.47347947,6.438228508,5.488394964,4.642367533,3.876802272,3.210944548,2.587414469,2.049719095,1.656695699,1.280911062,1.027396066,0.862102626
