Year
Iron and steel - Electricity
Iron and steel - Natural Gas
Iron and steel - Hydrogen
Iron and steel - Oil/Petroleum
Iron and steel - Bioenergy/Other
Non-ferrous metals - Electricity
Non-ferrous metals - Natural Gas
Non-ferrous metals - Hydrogen
Non-ferrous metals - Oil/Petroleum
Non-ferrous metals - Bioenergy/Other
Chemicals - Electricity
Chemicals - Natural Gas
Chemicals - Hydrogen
Chemicals - Oil/Petroleum
Chemicals - Bioenergy/Other
Paper and Pulp - Electricity
Paper and Pulp - Natural Gas
Paper and Pulp - Hydrogen
Paper and Pulp - Oil/Petroleum
Paper and Pulp - Bioenergy/Other
Food and Beverages - Electricity
Food and Beverages - Natural Gas
Food and Beverages - Hydrogen
Food and Beverages - Oil/Petroleum
Food and Beverages - Bioenergy/Other
Mineral products - Electricity
Mineral products - Natural Gas
Mineral products - Hydrogen
Mineral products - Oil/Petroleum
Mineral products - Bioenergy/Other
Textiles and Leather - Electricity
Textiles and Leather - Natural Gas
Textiles and Leather - Hydrogen
Textiles and Leather - Oil/Petroleum
Textiles and Leather - Bioenergy/Other
Construction - Electricity
Construction - Natural Gas
Construction - Hydrogen
Construction - Oil/Petroleum
Construction - Bioenergy/Other
Mechanical Engineering - Electricity
Mechanical Engineering - Natural Gas
Mechanical Engineering - Hydrogen
Mechanical Engineering - Oil/Petroleum
Mechanical Engineering - Bioenergy/Other
Electrical Engineering - Electricity
Electrical Engineering - Natural Gas
Electrical Engineering - Hydrogen
Electrical Engineering - Oil/Petroleum
Electrical Engineering - Bioenergy/Other
Vehicles - Electricity
Vehicles - Natural Gas
Vehicles - Hydrogen
Vehicles - Oil/Petroleum
Vehicles - Bioenergy/Other
Other industries - Electricity
Other industries - Natural Gas
Other industries - Hydrogen
Other industries - Oil/Petroleum
Other industries - Bioenergy/Other
