Year
Biofuel Boiler
ASHP + Biofuel Boiler (Biofuel)
Biomass Boiler
Biomass CHP
District Heating (Biomass)
District Heating (Biomethane)
District Heating (Gas)
Gas Boiler
Gas CHP
District Heating (Hydrogen)
Gas Boiler - H2-NG Blend
Gas CHP - H2-NG Blend
ASHP + Hydrogen Boiler (Hydrogen)
Hydrogen Boiler
Oil Boiler
Community Heating
ASHP
GSHP
ASHP + Biofuel Boiler (Electricity)
ASHP + Electric Resistive (Electricity)
ASHP + Hydrogen Boiler (Electricity)
ASHP + Solar Thermal (Electricity)
Electric Resistive
Electric Storage
District Heating (Electricity)
District Heating (Waste Heat)
ASHP + Solar Thermal (Solar)
